;velocidade;rms
0;100;0.00932484
1;125;0.010739464
2;150;0.012692947
3;175;0.014367248
4;200;0.016309803
5;225;0.017514711
6;250;0.019155765
7;275;0.021122565
8;300;0.023437418
9;325;0.025163505
10;350;0.028539123
11;375;0.033165086
12;400;0.0377957
13;425;0.03940776
14;450;0.038150582
15;475;0.033898018
16;500;0.030488953
17;525;0.027935965
18;550;0.024186509
19;575;0.021361427
20;600;0.018143965
21;625;0.015068117
22;650;0.011841695
23;675;0.009355138
24;700;0.006078609
25;725;0.003800016
26;750;0.001876721
